id,food_cd,group_name,food_name,research_year,maker_name,ref_name,serving_size,calorie,carbohydrate,protein,province,sugars,salt,cholesterol,saturated_fatty_acids,trans_fat
4139,D013994,빵류,베이컨피자 XL,2019,난타5000,식약처('19),172,319.0,0.0,15.0,0.0,7.0,667.0,0.0,9.0,0.0
4140,D013995,빵류,스테이크피자 L,2019,난타5000,식약처('19),113,426.0,0.0,17.0,0.0,5.0,463.0,0.0,5.0,0.0
4141,D013996,빵류,스테이크피자 XL,2019,난타5000,식약처('19),151,368.0,0.0,23.0,0.0,6.0,618.0,0.0,6.0,0.0
4142,D013997,빵류,킹크래미피자 L,2019,난타5000,식약처('19),110,490.0,0.0,13.0,0.0,4.0,455.0,0.0,5.0,0.0
4143,D013998,빵류,킹크래미피자 XL,2019,난타5000,식약처('19),147,297.0,0.0,17.0,0.0,5.0,608.0,0.0,6.0,0.0
4144,D013999,빵류,떡갈비피자 L,2019,난타5000,식약처('19),132,397.0,0.0,18.0,0.0,5.0,549.0,0.0,6.0,0.0
4145,D014000,빵류,떡갈비피자 XL,2019,난타5000,식약처('19),175,300.0,0.0,22.0,0.0,7.0,727.0,0.0,9.0,0.0
4146,D014001,빵류,치즈크러스트피자 L,2019,난타5000,식약처('19),176,401.0,0.0,24.0,0.0,5.0,812.0,0.0,11.0,0.0
4147,D014002,빵류,치즈크러스트피자 XL,2019,난타5000,식약처('19),225,371.0,0.0,31.0,0.0,7.0,1040.0,0.0,14.0,0.0
4148,D014003,빵류,리치골드피자 L,2019,난타5000,식약처('19),139,491.0,0.0,16.0,0.0,6.0,554.0,0.0,7.0,0.0
4149,D014004,빵류,리치골드피자 XL,2019,난타5000,식약처('19),185,475.0,0.0,22.0,0.0,7.0,737.0,0.0,9.0,0.0
4150,D014005,빵류,치즈바이트피자 L,2019,난타5000,식약처('19),196,533.0,0.0,23.0,0.0,9.0,820.0,0.0,8.0,0.0
4151,D014006,빵류,치즈바이트피자 XL,2019,난타5000,식약처('19),262,713.0,0.0,31.0,0.0,13.0,1097.0,0.0,10.0,0.0
4152,D014007,빵류,체다바베큐필레 L,2019,난타5000,식약처('19),168,472.0,0.0,30.0,0.0,5.0,777.0,0.0,8.0,0.0
4153,D014008,빵류,체다바베큐필레 XL,2019,난타5000,식약처('19),224,629.0,0.0,39.0,0.0,6.0,1036.0,0.0,11.0,0.0
4154,D014009,빵류,체다콤비네이션피자 L,2019,난타5000,식약처('19),183,498.0,0.0,24.0,0.0,7.0,818.0,0.0,10.0,0.0
4155,D014010,빵류,체다콤비네이션피자 XL,2019,난타5000,식약처('19),243,661.0,0.0,32.0,0.0,9.0,1086.0,0.0,13.0,0.0
4156,D014011,빵류,골드바베큐필레 L,2019,난타5000,식약처('19),203,564.0,0.0,28.0,0.0,7.0,917.0,0.0,13.0,0.0
4157,D014012,빵류,골드바베큐필레 XL,2019,난타5000,식약처('19),260,722.0,0.0,36.0,0.0,9.0,1175.0,0.0,17.0,0.0
4158,D014013,빵류,골드스테이크피자 L,2019,난타5000,식약처('19),188,511.0,0.0,25.0,0.0,7.0,824.0,0.0,8.0,0.0
4159,D014014,빵류,골드스테이크피자 XL,2019,난타5000,식약처('19),240,653.0,0.0,32.0,0.0,9.0,1051.0,0.0,10.0,0.0
4160,D014015,빵류,골드새우피자 L,2019,난타5000,식약처('19),217,566.0,0.0,27.0,0.0,7.0,903.0,0.0,12.0,0.0
4161,D014016,빵류,골드새우피자 XL,2019,난타5000,식약처('19),280,730.0,0.0,35.0,0.0,9.0,1166.0,0.0,15.0,0.0
4162,D014017,빵류,콜드프리미엄불고기 L,2019,난타5000,식약처('19),198,465.0,0.0,29.0,0.0,6.0,826.0,0.0,8.0,0.0
4163,D014018,빵류,콜드프리미엄불고기 XL,2019,난타5000,식약처('19),254,635.0,0.0,37.0,0.0,8.0,1059.0,0.0,10.0,0.0
4164,D014019,빵류,골드핫치킨피자 L,2019,난타5000,식약처('19),225,609.0,0.0,32.0,0.0,12.0,1032.0,0.0,7.0,0.0
4165,D014020,빵류,골드핫치킨피자 XL,2019,난타5000,식약처('19),290,786.0,0.0,41.0,0.0,15.0,1330.0,0.0,10.0,0.0
4166,D014021,빵류,골드베이컨피자 X,2019,난타5000,식약처('19),204,554.0,0.0,24.0,0.0,10.0,891.0,0.0,14.0,0.0
4167,D014022,빵류,골드베이컨피자 XL,2019,난타5000,식약처('19),262,726.0,0.0,31.0,0.0,13.0,1168.0,0.0,18.0,0.0
4168,D014023,빵류,골드포테이토피자 X,2019,난타5000,식약처('19),228,595.0,0.0,24.0,0.0,10.0,833.0,0.0,8.0,0.0
4169,D014024,빵류,골드포테이토피자 XL,2019,난타5000,식약처('19),294,767.0,0.0,31.0,0.0,12.0,1075.0,0.0,11.0,0.0
4170,D014025,빵류,골드고구마피자 X,2019,난타5000,식약처('19),230,612.0,0.0,24.0,0.0,15.0,883.0,0.0,10.0,0.0
4171,D014026,빵류,골드고구마피자 XL,2019,난타5000,식약처('19),296,787.0,0.0,31.0,0.0,20.0,1137.0,0.0,12.0,0.0
4172,D014027,빵류,골드베스트피자 X,2019,난타5000,식약처('19),202,510.0,0.0,20.0,0.0,8.0,828.0,0.0,8.0,0.0
4173,D014028,빵류,골드베스트피자 XL,2019,난타5000,식약처('19),270,682.0,0.0,26.0,0.0,10.0,1107.0,0.0,11.0,0.0
4174,D014029,튀김류,오븐구이치킨,2019,난타5000,식약처('19),200,224.0,0.0,44.0,0.0,1.0,338.0,0.0,1.0,0.0
4175,D014030,면 및 만두류,치즈오븐스파게티,2019,난타5000,식약처('19),212,255.0,0.0,20.0,0.0,10.0,503.0,0.0,1.0,0.0
4176,D014031,튀김류,치킨윙,2019,난타5000,식약처('19),200,386.0,0.0,48.0,0.0,5.0,1363.0,0.0,3.0,0.0
4177,D014032,튀김류,치킨봉,2019,난타5000,식약처('19),200,435.0,0.0,47.0,0.0,4.0,1457.0,0.0,6.0,0.0
4178,D014033,빵류,풀드포크치즈밤피자 R,2019,반올림피자샵,식약처('19),108,207.8,0.0,5.4,0.0,4.1,475.2,0.0,21.0,0.0
4179,D014034,빵류,풀드포크치즈밤피자 L,2019,반올림피자샵,식약처('19),162,311.7,0.0,8.2,0.0,6.2,713.0,0.0,31.6,0.0
4180,D014035,빵류,쏘핫불고기 크림치즈피자 R,2019,반올림피자샵,식약처('19),100,190.2,0.0,5.6,0.0,3.5,483.4,0.0,22.2,0.0
4181,D014036,빵류,쏘핫불고기 크림치즈피자 L,2019,반올림피자샵,식약처('19),150,285.2,0.0,8.3,0.0,5.2,725.1,0.0,33.3,0.0
4182,D014037,빵류,치즈후라이 크림치즈피자 R,2019,반올림피자샵,식약처('19),101,213.2,0.0,5.8,0.0,1.0,563.5,0.0,22.2,0.0
4183,D014038,빵류,치즈후라이 크림치즈피자 L,2019,반올림피자샵,식약처('19),151,319.8,0.0,8.7,0.0,1.5,845.2,0.0,33.3,0.0
4184,D014039,빵류,통마늘불고기 소보로피자 R,2019,반올림피자샵,식약처('19),100,231.7,0.0,6.7,0.0,1.9,571.3,0.0,23.0,0.0
4185,D014040,빵류,통마늘불고기 소보로피자 L,2019,반올림피자샵,식약처('19),151,347.5,0.0,10.0,0.0,2.8,856.9,0.0,34.4,0.0
4186,D014041,빵류,수제고구마 소보로피자 R,2019,반올림피자샵,식약처('19),119,271.3,0.0,6.0,0.0,5.6,542.2,0.0,24.1,0.0
4187,D014042,빵류,수제고구마 소보로피자 L,2019,반올림피자샵,식약처('19),179,406.9,0.0,9.0,0.0,8.3,813.3,0.0,36.1,0.0
4188,D014043,빵류,수제고구마 골드피자 R,2019,반올림피자샵,식약처('19),117,229.0,0.0,5.6,0.0,6.8,504.9,0.0,23.9,0.0
4189,D014044,빵류,수제고구마 골드피자 L,2019,반올림피자샵,식약처('19),175,343.5,0.0,8.4,0.0,10.2,757.3,0.0,35.9,0.0
4190,D014045,빵류,스파이시도이치 골드피자 R,2019,반올림피자샵,식약처('19),121,236.0,0.0,6.5,0.0,3.9,754.3,0.0,23.4,0.0
4191,D014046,빵류,스파이시도이치 골드피자 L,2019,반올림피자샵,식약처('19),182,354.0,0.0,9.7,0.0,5.9,1131.4,0.0,35.1,0.0
4192,D014047,빵류,핫치킨&쉬림프 골드피자 R,2019,반올림피자샵,식약처('19),110,222.2,0.0,8.8,0.0,4.1,588.0,0.0,23.4,0.0
4193,D014048,빵류,핫치킨&쉬림프 골드피자 L,2019,반올림피자샵,식약처('19),164,333.3,0.0,13.1,0.0,6.2,882.0,0.0,35.2,0.0
4194,D014049,빵류,더블바베큐 골드피자 R,2019,반올림피자샵,식약처('19),109,198.6,0.0,8.1,0.0,3.7,608.0,0.0,23.0,0.0
4195,D014050,빵류,더블바베큐 골드피자 L,2019,반올림피자샵,식약처('19),164,297.9,0.0,12.0,0.0,5.6,912.0,0.0,34.5,0.0
4196,D014051,빵류,포테이토바이트피자 R,2019,반올림피자샵,식약처('19),102,192.0,0.0,5.5,0.0,2.2,525.5,0.0,23.7,0.0
4197,D014052,빵류,포테이토바이트피자 L,2019,반올림피자샵,식약처('19),154,288.0,0.0,8.1,0.0,3.2,788.2,0.0,35.5,0.0
4198,D014053,빵류,콤비네이션바이트피자 R,2019,반올림피자샵,식약처('19),91,178.2,0.0,5.8,0.0,2.3,502.0,0.0,23.7,0.0
4199,D014054,빵류,콤비네이션바이트피자 L,2019,반올림피자샵,식약처('19),137,267.3,0.0,8.6,0.0,3.4,753.0,0.0,35.5,0.0
4200,D014055,빵류,베이컨쉬림프 치즈링피자 R,2019,반올림피자샵,식약처('19),92,188.5,0.0,7.2,0.0,1.0,543.5,0.0,17.2,0.0
4201,D014056,빵류,베이컨쉬림프 치즈링피자 L,2019,반올림피자샵,식약처('19),138,282.8,0.0,10.8,0.0,1.5,815.2,0.0,25.7,0.0
4202,D014057,빵류,불고기 치즈링피자 R,2019,반올림피자샵,식약처('19),90,170.0,0.0,5.8,0.0,1.9,509.4,0.0,23.0,0.0
4203,D014058,빵류,불고기 치즈링피자 L,2019,반올림피자샵,식약처('19),135,255.1,0.0,8.8,0.0,2.9,764.1,0.0,34.4,0.0
4204,D014059,빵류,페파로니 치즈링피자 R,2019,반올림피자샵,식약처('19),82,171.9,0.0,5.7,0.0,1.2,493.5,0.0,22.4,0.0
4205,D014060,빵류,페파로니 치즈링피자 L,2019,반올림피자샵,식약처('19),122,258.0,0.0,8.5,0.0,1.9,740.3,0.0,33.5,0.0
4206,D014061,빵류,핫치킨 치즈링피자 R,2019,반올림피자샵,식약처('19),95,188.1,0.0,8.2,0.0,2.7,534.1,0.0,23.3,0.0
4207,D014062,빵류,핫치킨 치즈링피자 L,2019,반올림피자샵,식약처('19),142,282.1,0.0,12.3,0.0,4.1,801.1,0.0,34.9,0.0
4208,D014063,빵류,불고기 스위트골드피자 R,2019,반올림피자샵,식약처('19),100,192.5,0.0,6.7,0.0,3.0,567.5,0.0,23.5,0.0
4209,D014064,빵류,불고기 스위트골드피자 L,2019,반올림피자샵,식약처('19),150,288.8,0.0,10.1,0.0,4.5,851.3,0.0,35.1,0.0
4210,D014065,빵류,치킨바베큐 스위트골드피자 R,2019,반올림피자샵,식약처('19),104,196.3,0.0,8.0,0.0,3.6,607.1,0.0,23.7,0.0
4211,D014066,빵류,치킨바베큐 스위트골드피자 L,2019,반올림피자샵,식약처('19),156,294.5,0.0,11.9,0.0,5.4,910.7,0.0,35.4,0.0
4212,D014067,빵류,콤비네이션 피자 R,2019,반올림피자샵,식약처('19),78,133.3,0.0,3.7,0.0,0.9,439.9,0.0,22.7,0.0
4213,D014068,빵류,콤비네이션 피자 L,2019,반올림피자샵,식약처('19),116,228.7,0.0,6.6,0.0,1.6,659.8,0.0,34.0,0.0
4214,D014069,빵류,베이컨체다치즈 피자 R,2019,반올림피자샵,식약처('19),85,149.9,0.0,5.3,0.0,0.8,481.4,0.0,16.3,0.0
4215,D014070,빵류,베이컨체다치즈 피자 L,2019,반올림피자샵,식약처('19),128,253.6,0.0,9.0,0.0,1.4,722.0,0.0,24.4,0.0
4216,D014071,빵류,하와이언 피자 R,2019,반올림피자샵,식약처('19),83,124.1,0.0,2.8,0.0,0.8,398.2,0.0,22.3,0.0
4217,D014072,빵류,하와이언 피자 L,2019,반올림피자샵,식약처('19),125,214.8,0.0,5.3,0.0,1.4,597.2,0.0,33.4,0.0
4218,D014073,빵류,콤비네이션 피자 몬스터,2019,반올림피자샵,식약처('19),209,411.6,0.0,11.8,0.0,2.9,1187.7,0.0,61.2,0.0
4219,D014074,면 및 만두류,고구마스파게티,2019,반올림피자샵,식약처('19),100,191.7,0.0,5.6,0.0,5.4,379.6,0.0,16.5,0.0
4220,D014075,튀김류,오지치즈후라이,2019,반올림피자샵,식약처('19),100,183.2,0.0,3.2,0.0,0.2,692.2,0.0,27.8,0.0
4221,D014076,면 및 만두류,치즈오븐스파게티,2019,반올림피자샵,식약처('19),100,217.6,0.0,6.5,0.0,2.2,480.5,0.0,20.6,0.0
4222,D014077,면 및 만두류,치킨스파게티,2019,반올림피자샵,식약처('19),100,198.9,0.0,8.9,0.0,1.8,483.6,0.0,17.3,0.0
4223,D014078,면 및 만두류,핫칠리스파게티,2019,반올림피자샵,식약처('19),100,200.1,0.0,5.5,0.0,4.1,573.3,0.0,18.1,0.0
4224,D014079,튀김류,크리스피감자,2019,반올림피자샵,식약처('19),100,171.0,0.0,2.51,0.0,0.3,417.0,0.0,2.08,0.0
4225,D014080,튀김류,체다웨지,2019,반올림피자샵,식약처('19),100,410.3,0.0,18.4,0.0,0.1,1417.1,0.0,9.9,0.0
4226,D014081,튀김류,훈제치킨,2019,반올림피자샵,식약처('19),100,180.0,0.0,17.0,0.0,1.0,200.0,0.0,3.3,0.0
4227,D014082,튀김류,핫윙,2019,반올림피자샵,식약처('19),100,204.0,0.0,22.1,0.0,0.0,703.0,0.0,0.0,0.0
4228,D014083,튀김류,치킨텐더,2019,반올림피자샵,식약처('19),100,288.0,0.0,17.7,0.0,0.0,758.0,0.0,0.0,0.0
4229,D014084,장아찌 및 절임류,수제피클,2019,반올림피자샵,식약처('19),30,31.8,0.0,0.18,0.0,0.0,200.0,0.0,0.0,0.0
4230,D014085,기타,퐁듀치즈,2019,반올림피자샵,식약처('19),30,96.0,0.0,5.49,0.0,0.0,340.2,0.0,0.0,0.0
4231,D014086,기타,핫소스,2019,반올림피자샵,식약처('19),4,1.12,0.0,0.03,0.0,0.0,25.2,0.0,0.0,0.0
4232,D014088,면 및 만두류,까르보나라스파게티,2019,반올림피자샵,식약처('19),100,282.5,0.0,10.6,0.0,0.1,420.3,0.0,18.7,0.0
4233,D014089,튀김류,새우링,2019,반올림피자샵,식약처('19),26,49.6,0.0,5.6,0.0,0.1,53.7,0.0,0.3,0.0
4234,D014090,빵류,미니디저트피자,2019,반올림피자샵,식약처('19),48,95.8,0.0,1.1,0.0,0.8,268.7,0.0,16.7,0.0
4235,D014091,구이류,그릴소세지,2019,반올림피자샵,식약처('19),30,65.0,0.0,4.0,0.0,1.0,220.0,0.0,2.1,0.0
4236,D014092,음료 및 차류,더블에스프레소,2019,빽다방,식약처('19),60,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4237,D014093,음료 및 차류,앗!메리카노(HOT),2019,빽다방,식약처('19),420,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4238,D014094,음료 및 차류,앗!메리카노(ICED),2019,빽다방,식약처('19),625,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4239,D014095,음료 및 차류,원조커피(HOT),2019,빽다방,식약처('19),375,410.0,0.0,3.0,0.0,46.0,39.0,0.0,0.0,0.0
4240,D014096,음료 및 차류,원조커피(ICED),2019,빽다방,식약처('19),625,393.0,0.0,2.0,0.0,42.0,39.0,0.0,0.0,0.0
4241,D014097,음료 및 차류,달달연유라떼(HOT),2019,빽다방,식약처('19),225,240.0,0.0,8.0,0.0,33.0,70.0,0.0,0.0,0.0
4242,D014098,음료 및 차류,달달연유라떼(ICED),2019,빽다방,식약처('19),400,285.0,0.0,9.0,0.0,32.0,84.0,0.0,0.0,0.0
4243,D014099,음료 및 차류,빽’s 라떼(HOT),2019,빽다방,식약처('19),300,253.0,0.0,8.0,0.0,9.0,69.0,0.0,0.0,0.0
4244,D014100,음료 및 차류,빽’s 라떼(ICED),2019,빽다방,식약처('19),625,198.0,0.0,10.0,0.0,10.0,81.0,0.0,0.0,0.0
4245,D014101,음료 및 차류,블랙펄카페라떼,2019,빽다방,식약처('19),425,349.0,0.0,5.0,0.0,13.0,68.0,0.0,0.0,0.0
4246,D014102,음료 및 차류,바닐라라떼(HOT),2019,빽다방,식약처('19),325,351.0,0.0,9.0,0.0,35.0,136.0,0.0,0.0,0.0
4247,D014103,음료 및 차류,바닐라라떼(ICED),2019,빽다방,식약처('19),600,433.0,0.0,9.0,0.0,38.0,144.0,0.0,0.0,0.0
4248,D014104,음료 및 차류,카페모카(HOT),2019,빽다방,식약처('19),350,319.0,0.0,13.0,0.0,32.0,144.0,0.0,0.0,0.0
4249,D014105,음료 및 차류,카페모카(ICED),2019,빽다방,식약처('19),625,365.0,0.0,13.0,0.0,36.0,146.0,0.0,0.0,0.0
4250,D014106,음료 및 차류,카라멜마키아또(HOT),2019,빽다방,식약처('19),350,354.0,0.0,8.0,0.0,40.0,137.0,0.0,0.0,0.0
4251,D014107,음료 및 차류,카라멜마키아또(ICED),2019,빽다방,식약처('19),625,382.0,0.0,9.0,0.0,43.0,148.0,0.0,0.0,0.0
4252,D014108,음료 및 차류,크리미모카라떼(HOT),2019,빽다방,식약처('19),325,440.0,0.0,8.0,0.0,41.0,103.0,0.0,0.0,0.0
4253,D014109,음료 및 차류,크리미모카라떼(ICED),2019,빽다방,식약처('19),625,612.0,0.0,10.0,0.0,49.0,119.0,0.0,0.0,0.0
4254,D014110,음료 및 차류,완전초코(HOT),2019,빽다방,식약처('19),325,342.0,0.0,9.0,0.0,45.0,108.0,0.0,0.0,0.0
4255,D014111,음료 및 차류,완전초코(ICED),2019,빽다방,식약처('19),625,389.0,0.0,10.0,0.0,56.0,126.0,0.0,0.0,0.0
4256,D014112,음료 및 차류,녹차라떼(HOT),2019,빽다방,식약처('19),325,351.0,0.0,10.0,0.0,51.0,78.0,0.0,0.0,0.0
4257,D014113,음료 및 차류,녹차라떼(ICED),2019,빽다방,식약처('19),550,327.0,0.0,9.0,0.0,33.0,65.0,0.0,0.0,0.0
4258,D014114,음료 및 차류,민트초코라떼(HOT),2019,빽다방,식약처('19),325,413.0,0.0,11.0,0.0,58.0,187.0,0.0,0.0,0.0
4259,D014115,음료 및 차류,민트초코라떼(ICED),2019,빽다방,식약처('19),700,498.0,0.0,13.0,0.0,43.0,210.0,0.0,0.0,0.0
4260,D014116,음료 및 차류,토피넛라떼(HOT),2019,빽다방,식약처('19),350,411.0,0.0,8.0,0.0,19.0,174.0,0.0,0.0,0.0
4261,D014117,음료 및 차류,토피넛라떼(ICED),2019,빽다방,식약처('19),650,469.0,0.0,8.0,0.0,16.0,197.0,0.0,0.0,0.0
4262,D014118,음료 및 차류,밀크티(HOT),2019,빽다방,식약처('19),375,313.0,0.0,9.0,0.0,35.0,70.0,0.0,0.0,0.0
4263,D014119,음료 및 차류,밀크티(ICED),2019,빽다방,식약처('19),625,353.0,0.0,9.0,0.0,37.0,77.0,0.0,0.0,0.0
4264,D014120,음료 및 차류,블랙펄라떼,2019,빽다방,식약처('19),400,282.0,0.0,5.0,0.0,11.0,64.0,0.0,0.0,0.0
4265,D014121,음료 및 차류,블랙펄밀크티,2019,빽다방,식약처('19),375,365.0,0.0,3.0,0.0,5.0,36.0,0.0,8.0,0.0
4266,D014122,음료 및 차류,깔라만시티,2019,빽다방,식약처('19),300,244.0,0.0,0.0,0.0,57.0,71.0,0.0,0.0,0.0
4267,D014123,음료 및 차류,레몬티,2019,빽다방,식약처('19),400,272.0,0.0,0.0,0.0,66.0,60.0,0.0,0.0,0.0
4268,D014124,음료 및 차류,레모네이드,2019,빽다방,식약처('19),625,246.0,0.0,0.0,0.0,60.0,55.0,0.0,0.0,0.0
4269,D014125,음료 및 차류,자몽티,2019,빽다방,식약처('19),400,281.0,0.0,1.0,0.0,66.0,15.0,0.0,0.0,0.0
4270,D014126,음료 및 차류,청포도플라워,2019,빽다방,식약처('19),550,220.0,0.0,0.0,0.0,52.0,6.0,0.0,0.0,0.0
4271,D014127,음료 및 차류,청포도에이드,2019,빽다방,식약처('19),600,234.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0
4272,D014128,음료 및 차류,깔라만시에이드,2019,빽다방,식약처('19),600,215.0,0.0,1.0,0.0,50.0,81.0,0.0,0.0,0.0
4273,D014129,음료 및 차류,자몽에이드,2019,빽다방,식약처('19),625,258.0,0.0,1.0,0.0,61.0,16.0,0.0,0.0,0.0
4274,D014130,음료 및 차류,완전파인애플,2019,빽다방,식약처('19),625,192.0,0.0,1.0,0.0,32.0,5.0,0.0,0.0,0.0
4275,D014131,음료 및 차류,완전망고,2019,빽다방,식약처('19),625,241.0,0.0,2.0,0.0,37.0,7.0,0.0,0.0,0.0
4276,D014132,음료 및 차류,플레인요거트스무디,2019,빽다방,식약처('19),600,494.0,0.0,7.0,0.0,94.0,77.0,0.0,0.0,0.0
4277,D014133,음료 및 차류,딸기요거트스무디,2019,빽다방,식약처('19),625,448.0,0.0,8.0,0.0,45.0,109.0,0.0,0.0,0.0
4278,D014134,아이스크림류,노말한소프트,2019,빽다방,식약처('19),225,333.0,0.0,4.0,0.0,20.0,70.0,0.0,0.0,0.0
4279,D014135,빵류,사라다빵,2019,빽다방,식약처('19),188,386.0,0.0,9.0,0.0,8.0,498.0,0.0,0.0,0.0
4280,D014136,빵류,소제지빵,2019,빽다방,식약처('19),192,500.0,0.0,19.0,0.0,1.0,679.0,0.0,0.0,0.0
4281,D014137,빵류,계란사라다빵,2019,빽다방,식약처('19),188,493.0,0.0,14.0,0.0,7.0,601.0,0.0,0.0,0.0
4282,D014138,음료 및 차류,완전딸기바나나(BASIC),2019,빽다방,식약처('19),625,502.0,0.0,7.0,0.0,53.0,114.0,0.0,0.0,0.0
4283,D014139,음료 및 차류,완전딸기바나나(SOFT),2019,빽다방,식약처('19),765,709.0,0.0,9.0,0.0,66.0,158.0,0.0,0.0,0.0
4284,D014140,음료 및 차류,완전초코바나나(BASIC),2019,빽다방,식약처('19),625,577.0,0.0,10.0,0.0,34.0,105.0,0.0,0.0,0.0
4285,D014141,음료 및 차류,완전초코바나나(SOFT),2019,빽다방,식약처('19),765,784.0,0.0,12.0,0.0,47.0,148.0,0.0,0.0,0.0
4286,D014142,음료 및 차류,피스타치오빽스치노(BASIC),2019,빽다방,식약처('19),625,535.0,0.0,8.0,0.0,12.0,329.0,0.0,0.0,0.0
4287,D014143,음료 및 차류,피스타치오빽스치노(SOFT),2019,빽다방,식약처('19),765,742.0,0.0,10.0,0.0,24.0,373.0,0.0,0.0,0.0
4288,D014144,음료 및 차류,녹차빽스치노(BASIC),2019,빽다방,식약처('19),625,487.0,0.0,9.0,0.0,32.0,120.0,0.0,0.0,0.0
4289,D014145,음료 및 차류,녹차빽스치노(SOFT),2019,빽다방,식약처('19),765,694.0,0.0,12.0,0.0,45.0,163.0,0.0,0.0,0.0
4290,D014146,음료 및 차류,원조빽스치노(BASIC),2019,빽다방,식약처('19),625,593.0,0.0,9.0,0.0,72.0,103.0,0.0,0.0,0.0
4291,D014147,음료 및 차류,원조빽스치노(SOFT),2019,빽다방,식약처('19),765,800.0,0.0,12.0,0.0,85.0,147.0,0.0,0.0,0.0
4292,D014148,음료 및 차류,민트초코 빽스치노(BASIC),2019,빽다방,식약처('19),625,602.0,0.0,12.0,0.0,28.0,244.0,0.0,0.0,0.0
4293,D014149,음료 및 차류,민트초코 빽스치노(SOFT),2019,빽다방,식약처('19),965,809.0,0.0,15.0,0.0,40.0,287.0,0.0,0.0,0.0
4294,D014150,음료 및 차류,레몬 유자 캐모마일 티,2019,커피빈,식약처('19),355,323.0,78.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
4295,D014151,음료 및 차류,겐마이차 그린,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4296,D014152,음료 및 차류,작설,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4297,D014153,음료 및 차류,프래그런트 나이트 쟈스민,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4298,D014154,음료 및 차류,모로칸민트,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4299,D014155,음료 및 차류,잉글리쉬브렉퍼스트,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4300,D014156,음료 및 차류,살구실론,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4301,D014157,음료 및 차류,파미그래네이트 블루베리,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4302,D014158,음료 및 차류,얼그레이,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4303,D014159,음료 및 차류,진셍 페퍼민트,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4304,D014160,음료 및 차류,레몬 캐모마일,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4305,D014161,음료 및 차류,아프리칸 선라이즈,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4306,D014162,음료 및 차류,스웨디쉬 베리즈,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4307,D014163,음료 및 차류,차이라떼,2019,커피빈,식약처('19),355,200.0,34.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0
4308,D014164,음료 및 차류,잉글리쉬 브렉퍼스트 라떼,2019,커피빈,식약처('19),355,200.0,34.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0
4309,D014165,음료 및 차류,모로칸 민트 라떼,2019,커피빈,식약처('19),355,190.0,35.0,0.0,0.0,0.0,230.0,0.0,3.0,0.0
4310,D014166,음료 및 차류,그린 티 라떼,2019,커피빈,식약처('19),355,290.0,46.0,0.0,0.0,0.0,380.0,0.0,4.0,0.0
4311,D014167,음료 및 차류,아이스 캐러멜 마키아토,2019,커피빈,식약처('19),355,180.0,30.0,0.0,0.0,0.0,200.0,0.0,3.0,0.0
4312,D014168,음료 및 차류,아이스 바닐라라떼,2019,커피빈,식약처('19),355,180.0,30.0,0.0,0.0,0.0,200.0,0.0,3.0,0.0
4313,D014169,음료 및 차류,아이스 모카라떼,2019,커피빈,식약처('19),355,170.0,31.0,0.0,0.0,0.0,220.0,0.0,2.0,0.0
4314,D014170,음료 및 차류,아이스 카페라떼,2019,커피빈,식약처('19),355,100.0,9.0,0.0,0.0,0.0,85.0,0.0,3.0,0.0
4315,D014171,음료 및 차류,아이스 커피,2019,커피빈,식약처('19),355,5.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4316,D014172,음료 및 차류,헤이즐넛 아이스커피,2019,커피빈,식약처('19),355,206.0,24.0,0.0,0.0,0.0,80.0,0.0,7.0,0.0
4317,D014173,음료 및 차류,카페수아,2019,커피빈,식약처('19),355,255.0,36.0,0.0,0.0,0.0,190.0,0.0,2.5,0.0
